id,name,sort_name,image,gender,party,faction,area,start_date,term,source
00111,Shu-Lei Lo,"Lo, Shu-Lei",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80111.jpg,female,KMT,KMT,"3rd electoral district, Taipei City ",2012-02-01 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00111&stage=8
00112,Ching-Chuan Su,"Su, Ching-Chuan",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80112.jpg,male,KMT,KMT,Nationwide,2012-02-01 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00112&stage=8
00113,Chen-Ching Su,"Su, Chen-Ching",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80113.jpg,male,DPP,DPP,"1st electoral district,Pingtung County ",2012-02-01 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00113&stage=8
00114,Kuan-Heng Yen,"Yen, Kuan-Heng",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81114.jpg,male,KMT,KMT,"2rd electoral district, Taichung City ",2013-02-01 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00114&stage=8
00116,Chin-Lin Yeh,"Yeh, Chin-Lin",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81116.jpg,female,TSU,TSU,Nationwide,2013-07-26 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00116&stage=8
00117,Chen-Chang Lai,"Lai, Chen-Chang",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81117.jpg,male,TSU,TSU,Nationwide,2014-02-10 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00117&stage=8
00118,Ni-An Chou,"Chou, Ni-An",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81118.jpg,female,TSU,TSU,Nationwide,2014-02-10 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00118&stage=8
00119,Chih-Jung Hsu,"Hsu, Chih-Jung",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81119.jpg,male,KMT,KMT,"2nd electoral district, Miaoli County ",2015-02-16 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00119&stage=8
00120,Jui-Hsiung Chuang,"Chuang, Jui-Hsiung",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81120.jpg,male,DPP,DPP,"3rd electoral district,Pingtung County ",2015-02-16 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00120&stage=8
00121,Shu-Hua Hsu,"Hsu, Shu-Hua",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81121.jpg,female,KMT,KMT,"2rd electoral district, Nantou County ",2015-02-16 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00121&stage=8
00122,Su-Yueh Chen,"Chen, Su-Yueh",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81122.jpg,female,DPP,DPP,"4th electoral district, Changhua County ",2015-02-16 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00122&stage=8
00123,Kuo-Shu Huang,"Huang, Kuo-Shu",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81123.jpg,male,DPP,DPP,"6th electoral district, Taichung City ",2015-02-16 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00123&stage=8
00124,Man-Jung Chan,"Chan, Man-Jung",http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81124.jpg,female,KMT,KMT,Nationwide,2015-07-20 ,8,http://www.ly.gov.tw/en/03_leg/legIntro.action?lgno=00124&stage=8
