id,name__pt,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__qu,name__fr,name__ru,name__en,name__es,name__yo,name__fi,name__uk,name__lv,name__it,name__ilo,name__et,name__ay,name__de,name__id,name__ka,name__nl,name__sv,name__zh,name__nb,name__da,name__nn,name__cy,name,wikipedia__ay,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__id,wikipedia__ilo,wikipedia__it,wikipedia__ka,wikipedia__lv,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__qu,wikipedia__ru,wikipedia__sv,wikipedia__uk,wikipedia__yo,wikipedia__zh,image,gender,identifier__VIAF,identifier__LCAuth,identifier__SUDOC,birth_date,death_date,identifier__freebase,given_name,identifier__Britannica,identifier__GTAA,identifier__FAST,original_wikiname,name__mr,name__de_ch,name__en_ca,name__en_gb,name__pt_br,wikipedia__mr,identifier__OLID,identifier__BNE,name__ro,name__nds,wikipedia__ro,identifier__ISNI,identifier__GND,identifier__BNF,identifier__NTA,identifier__CANTIC,identifier__NLAtrove,name__sco,wikipedia__sco,name__ca,name__gl,twitter,website,wikipedia__simple,family_name,name__hu,last_seen,name__ar,wikipedia__ar,second_surname,name__ja,identifier__GNC,identifier__bigenc_ru,occupation,facebook,identifier__snac,wikipedia__az,name__az,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__eo,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__mg,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sk,name__sw,name__tr,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__ne_se,identifier__BVMC,identifier__bna,name__ko,wikipedia__enwikisource,wikipedia__ko,identifier__CERL,wikipedia__ca
Q466098,Lidia Gueiler Tejada,莉迪娅·盖莱尔,莉迪婭·蓋萊爾,莉迪婭·蓋萊爾,莉迪娅·盖莱尔,莉迪娅·盖莱尔,莉迪婭·蓋萊爾,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,"Гейлер Техада, Лидия",Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Лідія Гейлер Техада,Lidija Geilera Tehada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler,Lidia Gueiler Tejada,Lidia Gueiler Tejada,ლიდია გეილერ ტეხადა,Lidia Gueiler Tejada,Lidia Gueiler Tejada,莉迪娅·盖莱尔,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,ლიდია გეილერ ტეხადა,Lidija Geilera Tehada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,Lidia Gueiler Tejada,"Гейлер Техада, Лидия",Lidia Gueiler Tejada,Лідія Гейлер Техада,Lidia Gueiler Tejada,莉迪娅·盖莱尔,https://upload.wikimedia.org/wikipedia/commons/1/1c/Lidia_Gueiler_Tejada.png,female,77810056,n86813987,083050671,1921-08-28,2011-05-09,/m/04ltrj,Lidia,biography/Lidia-Gueiler-Tejada,105081,171490,,,,,,,,,,,,,,,,,,,,,,,,,,,Lidia Gueiler Tejada,,,,,リディア・ゲイレル・テハダ,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4685496,,,,,,,,,,Adriana Gil,,Adriana Gil,Adriana Gil,,,,,,,,,Adriana Gil,,,Adriana Gil,,,,,,,Adriana Gil,,,Adriana Gil,Adriana Gil,,,,,,,,,,,,,,,,,,,female,,,,1982-05-22,,,Adriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adriana Gil,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4723701,,,,,,,,,,Alfredo Arce Carpio,,Alfredo Arce Carpio,Alfredo Arce Carpio,,,,,,,,,Alfredo Arce Carpio,,,Alfredo Arce Carpio,,,,,,,Alfredo Arce Carpio,,,Alfredo Arce Carpio,Alfredo Arce Carpio,,,,,,,,,,,,,,,,,,,male,,,,1941-03-19,2001,,Alfredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfredo Arce Carpio,,,,,,,,judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4750398,,,,,,,,,,Ana Lucía Reis,,Ana Lucía Reis,Ana Lucía Reis,,,,,,,,,Ana Lucía Reis,,,Ana Lucía Reis,,,,,,,Ana Lucía Reis,,,Ana Lucía Reis,Ana Lucía Reis,,,,,,,,,,,,,,,,,,,female,,,,1970-07-17,,,Ana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ana Lucía Reis,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4821330,,,,,,,,,,Augusto Valda Vargas,,Augusto Valda Vargas,,,,,,Augusto Valda Vargas,,,,Augusto Valda Vargas,,,Augusto Valda Vargas,,,,,,,Augusto Valda Vargas,,,Augusto Valda Vargas,,,,,,,,,,,,,,,,,,,,male,,,,1957-08-28,,/m/0by080_,Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4904591,,,,,,,,,,Bienvenido Zacu Mborobainchi,,Bienvenido Zacu Mborobainchi,,,,,,Bienvenido Zacu Mborobainchi,,,,Bienvenido Zacu Mborobainchi,,,Bienvenido Zacu Mborobainchi,,,,,,,Bienvenido Zacu Mborobainchi,,,Bienvenido Zacu Mborobainchi,,,,,,,,,,,,,,,,,,,,male,39165995,no2007121560,,1956-03-22,,,Bienvenido,,,1687375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5218693,,,,,,,,,,Daniel Santalla,,Daniel Santalla,Daniel Santalla,,,,,Daniel Santalla,,,,Daniel Santalla,,,Daniel Santalla,,,,,,,Daniel Santalla,,,Daniel Santalla,Daniel Santalla,,,,,,,,,,,,,,,,,,,male,,,,,,,Daniel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5339974,,,,,,,,,,Edmundo Novillo Aguilar,,Edmundo Novillo,Edmundo Novillo Aguilar,,,,,,,,,,,,Edmundo Novillo,,,,,,,Edmundo Novillo,,,Edmundo Novillo,Edmundo Novillo Aguilar,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Edmundo_Novillo_speaking.JPG,male,,,,1963-01-28,,,Edmundo,,,,,,,,,,,,,,,,,,,,,,Edmundo Novillo Aguilar,Edmundo Novillo Aguilar,,,,,,,Edmundo Novillo Aguilar,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5363468,,,,,,,,,,Elizabeth Salguero,,Elizabeth Salguero,Elizabeth Salguero,,,,,,,,,Elizabeth Salguero,,,Elizabeth Salguero,,,,,,,Elizabeth Salguero,,,Elizabeth Salguero,Elizabeth Salguero,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/04/Elizabeth_Salguero_2017.jpg,female,,,,1964-11-01,,,Elizabeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Salguero,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5400836,,,,,,,,,,Esteban Urquizu,,Esteban Urquizu,Esteban Urquizu,,,,,Esteban Urquizu,,,,Esteban Urquizu,,,Esteban Urquizu,,,,,,,Esteban Urquizu,,,Esteban Urquizu,Esteban Urquizu,,,,,,,,,,,,,,,,,,,male,,,,1981-04-11,,,Esteban,,,,,,,,,,,,,,,,,,,,,,,,Esteban Urquizu,Esteban Urquizu,,,,,Esteban Urquizu,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5429107,,,,,,,,,,Facundo Hurtado Castellón,,Facundo Hurtado Castellón,,,,,,,,,,Facundo Hurtado Castellón,,,Facundo Hurtado Castellón,,,,,,,Facundo Hurtado Castellón,,,Facundo Hurtado Castellón,,,,,,,,,,,,,,,,,,,,male,,,,1950-11-27,,,Facundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5444946,,,,,,,,,,Fernando Untoja Choque,,Fernando Untoja Choque,,,,,,,,,,Fernando Untoja Choque,,,Fernando Untoja Choque,,,,,,,Fernando Untoja Choque,,,Fernando Untoja Choque,,,,,,,,,,,,,,,,,,,,male,,,,1950-03-30,,,Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5484010,,,,,,,,,,Francisco Vaca Gutiérrez,,Francisco Vaca Gutiérrez,,,,,,,,,,Francisco Vaca Gutiérrez,,,Francisco Vaca Gutiérrez,,,,,,,Francisco Vaca Gutiérrez,,,Francisco Vaca Gutiérrez,,,,,,,,,,,,,,,,,,,,male,,,,1951-07-24,,,Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Vaca Gutiérrez,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5582169,,,,,,,,,,,,Gonzalo Aguirre Villafán,,,,,,,,,,Gonzalo Aguirre Villafán,,,Gonzalo Aguirre Villafán,,,,,,,Gonzalo Aguirre Villafán,,,Gonzalo Aguirre Villafán,,,,,,,,,,,,,,,,,,,,male,,,,1951-02-08,,,Gonzalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5649284,,,,,,,,,,Remedios Loza,,Remedios Loza,Remedios Loza,,,,,Remedios Loza,,,,,,,,,,,,,,Remedios Loza,,,,Remedios Loza,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/Remedios_Loza.jpg,female,,,,1949-08-21,,,Remedios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5696807,,,,,,,,,,Víctor Andrade Uzquiano,,Víctor Andrade Uzquiano,Víctor Andrade Uzquiano,,,,,,,,,,,,Víctor Andrade Uzquiano,,,,,,,Víctor Andrade Uzquiano,,,,Víctor Andrade Uzquiano,,,,,,,,,,,,,,,,,,,male,,,,1905-03-06,1990-03-07,,Viktor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6109614,,,,,,,,,,Jaalil Melgar Mustafá,,Jaalil Melgar Mustafá,,,,,,,,,,Jaalil Melgar Mustafá,,,Jaalil Melgar Mustafá,,,,,,,Jaalil Melgar Mustafá,,,Jaalil Melgar Mustafá,,,,,,,,,,,,,,,,,,,,male,,,,1953-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6278204,,,,,,,,,,Jorge Ledezma,,Jorge Ledezma,Jorge Ledezma Cornejo,,,,,,,,,Jorge Ledezma,,,Jorge Ledezma,,,,,,,Jorge Ledezma,,,Jorge Ledezma,Jorge Ledezma Cornejo,,,,,,,,,,,,,,,,,,,male,,,,1963-08-24,,,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Ledezma Cornejo,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6278697,,,,,,,,,,Jorge Torres Obleas,,Jorge Torres Obleas,,,,,,,,,,Jorge Torres Obleas,,,,,,,,,,Jorge Torres Obleas,,,Jorge Torres Obleas,,,,,,,,,,,,,,,,,,,,male,,,,1957-05-24,,,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6299387,,,,,,,,,,Juan Carlos Riss Cecin,,Juan Carlos Riss Cecin,,,,,,,,,,Juan Carlos Riss Cecin,,,Juan Carlos Riss Cecin,,,,,,,Juan Carlos Riss Cecin,,,Juan Carlos Riss Cecin,,,,,,,,,,,,,,,,,,,,male,,,,1955-04-14,,,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6299994,,,,,,,,,,Juan Huanca Colque,,Juan Huanca Colque,,,,,,,,,,Juan Huanca Colque,,,Juan Huanca Colque,,,,,,,Juan Huanca Colque,,,Juan Huanca Colque,,,,,,,,,,,,,,,,,,,,male,,,,1966-12-27,,,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6700742,,,,,,,,,,Luis Jorge Mayser Ardaya,,Luis Jorge Mayser Ardaya,,,,,,,,,,Luis Jorge Mayser Ardaya,,,Luis Jorge Mayser Ardaya,,,,,,,Luis Jorge Mayser Ardaya,,,Luis Jorge Mayser Ardaya,,,,,,,,,,,,,,,,,,,,male,26233980,,,1928-07-21,,,Luis,,,,,,,,,,,,,,,,,,16944597x,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6752896,,,,,,,,,,Manuel Suárez Ávila,,Manuel Suárez Ávila,,,,,,,,,,Manuel Suárez Ávila,,,,,,,,,,Manuel Suárez Ávila,,,Manuel Suárez Ávila,,,,,,,,,,,,,,,,,,,,male,55384577,,,1968-02-12,,,Manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7071466,,,,,,,,,,Néstor Guzmán Villarroel,,Néstor Guzmán Villarroel,,,,,,,,,,Néstor Guzmán Villarroel,,,Néstor Guzmán Villarroel,,,,,,,Néstor Guzmán Villarroel,,,Néstor Guzmán Villarroel,,,,,,,,,,,,,,,,,,,,male,,,,1964-02-26,,,Néstor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7209390,,,,,,,,,,Policarpio Castañeta Yujra,,Policarpio Castañeta Yujra,,,,,,,,,,Policarpio Castañeta Yujra,,,Policarpio Castañeta Yujra,,,,,,,Policarpio Castañeta Yujra,,,Policarpio Castañeta Yujra,,,,,,,,,,,,,,,,,,,,male,,,,1957-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7299727,,,,,,,,,,Raúl Angelo Porcel Gonzáles,,Raúl Angelo Porcel Gonzáles,,,,,,,,,,Raúl Angelo Porcel Gonzáles,,,Raúl Angelo Porcel Gonzáles,,,,,,,Raúl Angelo Porcel Gonzáles,,,Raúl Angelo Porcel Gonzáles,,,,,,,,,,,,,,,,,,,,male,,,,1954-11-06,,,Raúl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q738270,Daniel Salamanca Urey,,丹尼爾·薩拉曼卡·烏雷,,丹尼尔·萨拉曼卡·乌雷,,,Daniel Domingo Salamanca,Daniel Salamanca,Daniel Salamanca Urey,"Саламанка Урей, Даниэль",Daniel Salamanca Urey,Daniel Salamanca,Daniel Salamanca Urey,,Даніель Саламанка Урей,,Daniel Salamanca,,,,Daniel Salamanca Urey,,დანიელ სალამანკა ურეი,Daniel Salamanca Urey,Daniel Salamanca,,Daniel Salamanca,Daniel Salamanca,Daniel Salamanca,,Daniel Salamanca Urey,,Daniel Salamanca Urey,Daniel Salamanca Urey,Daniel Salamanca,,,,,,Daniel Salamanca,დანიელ სალამანკა ურეი,,Daniel Salamanca Urey,Daniel Domingo Salamanca,Daniel Salamanca Urey,Daniel Salamanca,"Саламанка Урей, Даниэль",Daniel Salamanca Urey,Даніель Саламанка Урей,Daniel Salamanca Urey,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Daniel_Salamanca_Urey.jpg,male,72865414,n86012173,,1863-07-08,1935-07-17,/m/01gc8r,Daniel,,,197637,,डॅनियेल सालामांका उरे,Daniel Salamanca Urey,Daniel Salamanca Urey,Daniel Salamanca Urey,Daniel Salamanca Urey,डॅनियेल सालामांका उरे,OL1833897A,XX1428822,,,,,,,,,,,,,,,,,,Daniel Salamanca,,دانيال سالامانكا أوري,دانيال سالامانكا أوري,,ダニエル・サラマンカ,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7429439,,,,,,,,,,Saúl Guillermo Klinsky Callaú,,Saúl Guillermo Klinsky Callaú,Saúl Guillermo Klinsky Callaú,,,,,,,,,,,,Saúl Guillermo Klinsky Callaú,,,,,,Saúl Guillermo Klinsky Callaú,Saúl Guillermo Klinsky Callaú,,,Saúl Guillermo Klinsky Callaú,,,,,,,,,,,,,,,,,,,,male,,,,1927-09-27,2014-06-22,,Saúl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saúl Guillermo Klinsky Callaú,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8078864,,,,,,,,,,Óscar Salas Moya,,Óscar Salas Moya,Oscar Salas,,,,,,,,,Óscar Salas Moya,,,Óscar Salas Moya,,,,,,,Óscar Salas Moya,,,Óscar Salas Moya,Oscar Salas,,,,,,,,,,,,,,,,,,,male,,,,1936-08-05,2017-02-23,,Óscar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9029123,,,,,,,,,,Mario Cossío,,Mario Cossío,Mario Cossío,,,,,,,,,Mario Cossío,,,Mario Cossío,,,,,,,Mario Cossío,,,,Mario Cossío,,,,,,,,,,,,,,,,,,,male,,,,1960-05-01,,,Mario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mario Cossío,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,마리오 코시오,,마리오 코시오,,
