id,name__hu,name__da,name__fo,name__is,name__sv,name__nb,name__en,name__fr,name__de,name__nds,name__nl,name,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fo,wikipedia__fr,wikipedia__hu,wikipedia__is,wikipedia__no,wikipedia__sv,image,gender,birth_date,original_wikiname,given_name,name__pl,name__es,name__zh_hant,name__zh_cn,wikipedia__es,wikipedia__pl,identifier__freebase,website,name__no,death_date,name__ja,wikipedia__ja,identifier__VIAF,name__nn,wikipedia__nn,identifier__GND,identifier__LCAuth,name__it,name__zh,name__eo,name__ru,name__fi,name__id,name__cs,name__el,name__gv,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__fi,wikipedia__gv,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__ru,wikipedia__zh,name__tr,name__os,name__sh,name__az,name__ca,name__lt,name__mg,wikipedia__az,wikipedia__ca,wikipedia__lt,wikipedia__mg,wikipedia__os,wikipedia__sh,wikipedia__tr,identifier__ISNI,identifier__BNF,name__cy,identifier__SUDOC,name__gl,wikipedia__ia,name__ia,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__et,wikipedia__nowikiquote,wikipedia__ar,name__ar,identifier__google_knowledge,occupation,facebook,name__he,family_name,wikipedia__gl
Q11998968,,,,,,Rúna Sivertsen,,,,,,Rúna Sivertsen,,,,,,,,,Rúna Sivertsen,,,female,1955-10-11,Rúna Sivertsen,Rúna,,,,,,,,http://www.runa.fo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,
Q11998969,,,,,,Rúni Hentze,,,,,,Rúni Hentze,,,,,,,,,Rúni Hentze,,,male,1951-03-22,Rúni Hentze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12000640,,Sirið Stenberg,Sirið Stenberg,,,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Category:Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,Sirið Stenberg,,,,Sirið Stenberg,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Sirid_Stenberg_2014.JPG,female,1968-05-26,Sirið Stenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q12003998,,,,,,Sune Jacobsen,,,,,,Sune Jacobsen,,,,,,,,,Sune Jacobsen,,,male,1952-01-06,Sune Jacobsen,Sune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12004334,,,,,,Svenning Winther,,,,,,Svenning Winther,,,,,,,,,Sommer Winther,,,male,1937-11-28,Sommer Winther,,,,,,,,,,,2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12011415,,Álvur Zachariasen,,,,Álvur Zachariasen,Álvur Zachariasen,,,,Álvur Zachariasen,Álvur Zachariasen,,Álvur Zachariasen,,Álvur Zachariasen,,,,,Álvur Zachariasen,,,male,1931-06-05,Álvur Zachariasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teacher,,,,
Q1253548,Rósa Samuelsen,Rósa Samuelsen,Rósa Samuelsen,,,Rósa Samuelsen,,,,,Rósa Samuelsen,Rósa Samuelsen,Category:Rósa Samuelsen,Rósa Samuelsen,,,Rósa Samuelsen,,Rósa Samuelsen,,Rósa Samuelsen,,https://upload.wikimedia.org/wikipedia/commons/9/92/Rósa_Samuelsen_2012.jpg,female,1959-12-22,Rósa Samuelsen,Rósa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q1314456,Sámal Petur í Grund,Sámal Petur í Grund,Sámal Petur í Grund,,,Sámal Petur í Grund,,,Sámal Petur í Grund,,Sámal Petur í Grund,Sámal Petur í Grund,,Sámal Petur í Grund,Sámal Petur í Grund,,Sámal Petur í Grund,,Sámal Petur í Grund,,Sámal Petur í Grund,,,male,1958-07-26,Sámal Petur í Grund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1414299,Vilhelm Johannesen,Vilhelm Johannesen,Vilhelm Johannesen,,,Vilhelm Johannesen,,Vilhelm Johannesen,Vilhelm Johannesen,,Vilhelm Johannesen,Vilhelm Johannesen,,Vilhelm Johannesen,Vilhelm Johannesen,,Vilhelm Johannesen,,Vilhelm Johannesen,,Vilhelm Johannesen,,,male,1942-08-04,Vilhelm Johannesen,Vilhelm,,,,,,,,,,,,,173246720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1416571,Poul Michelsen,Poul Michelsen,Poul Michelsen,,,Poul Michelsen,Poul Michelsen,Poul Michelsen,Poul Michelsen,,Poul Michelsen,Poul Michelsen,Category:Poul Michelsen,Poul Michelsen,Poul Michelsen,Poul Michelsen,Poul Michelsen,,Poul Michelsen,,Poul Michelsen,,https://upload.wikimedia.org/wikipedia/commons/6/6e/PoulMichelsen-wcm-2.PNG,male,1944-07-22,Poul Michelsen,Poul,,,,,,,,,,,ポウル・ミケルセン,,,,,,,,保羅·米科爾森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/120qk_7l,businessperson,,,,
Q1417695,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,Finnbogi Ísakson,,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,Finnbogi Ísakson,,,,Finnbogi Ísakson,,,male,1943-02-07,Finnbogi Ísakson,Finnbogi,,Finnbogi Ísakson,,,,,,,,2005-09-07,,,308740562,,,1051917034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finnbogi Ísakson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/g/120scm_b,politician,,,,
Q1418272,,Finnur Helmsdal,,,,Finnur Helmsdal,Finnur Helmsdal,Finnur Helmsdal,Finnur Helmsdal,,Finnur Helmsdal,Finnur Helmsdal,,Finnur Helmsdal,Finnur Helmsdal,,,,,,Finnur Helmsdal,,,male,1952-04-20,Finnur Helmsdal,,,,,,,,,,,2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1471768,Óluva Klettskarð,Óluva Klettskarð,Óluva Klettskarð,,,Óluva Klettskarð,,,Óluva Klettskarð,,Óluva Klettskarð,Óluva Klettskarð,,Óluva Klettskarð,Óluva Klettskarð,,Óluva Klettskarð,,Óluva Klettskarð,,Óluva Klettskarð,,,female,1965-06-24,Óluva Klettskarð,,Óluva Klettskarð,,,,,Óluva Klettskarð,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q15633676,,Rigmor Dam,Rigmor Dam,,Rigmor Dam,Rigmor Dam,Rigmor Dam,Rigmor Dam,Rigmor Dam,,Rigmor Dam,Rigmor Dam,Category:Rigmor Dam,Rigmor Dam,Rigmor Dam,Rigmor Dam,Rigmor Dam,,,,Rigmor Dam,Rigmor Dam,https://upload.wikimedia.org/wikipedia/commons/b/b1/Rigmor_Dam_240815.JPG,female,1971-12-18,Rigmor Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,
Q16167420,,Magni Arge,Magni Arge,,,Magni Arge,Magni Arge,,Magni Arge,,,Magni Arge,Category:Magni Arge,Magni Arge,Magni Arge,,Magni Arge,,,,Magni Arge,,,male,1959-12-15,Magni Arge,,,,,,,,,,,,,,,,,,,Magni Arge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16188395,,,,,,Terje Davidsen,,,,,,Terje Davidsen,,,,,,,,,Terje Davidsen,,,male,1950-06-08,Terje Davidsen,Terje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16964224,,Edva Jacobsen,Edva Jacobsen,,,Edva Jacobsen,,,,,,Edva Jacobsen,,Edva Jacobsen,,,Edva Jacobsen,,,,Edva Jacobsen,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Edva_Jacobsen_2012.jpg,female,1964-08-31,Edva Jacobsen,,,,,,,,,,,,,,,,,,,Edva Jacobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16964316,,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Category:Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,,Elsebeth Mercedis Gunnleygsdóttur,,,,Elsebeth Mercedis Gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,https://upload.wikimedia.org/wikipedia/commons/e/e2/Elsebeth_Mercedis_Gunnleygsdóttir_2015.JPG,female,1963-10-26,Elsebeth Mercedis Gunnleygsdóttur,,Elsebeth Mercedis Gunnleygsdóttur,,,,,Elsebeth Mercedis Gunnleygsdóttur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q16995924,,Janus Rein,Janus Rein,,,Janus Rein,,,,,,Janus Rein,,Janus Rein,,,Janus Rein,,,,Janus Rein,,https://upload.wikimedia.org/wikipedia/commons/5/5d/Janus_Rein_2012.JPG,male,1974-05-29,Janus Rein,Janus,,,傑納斯·雷恩,杰納斯·雷恩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16997199,,Eivin Jacobsen,Eivin Jacobsen,,,Eivin Jacobsen,,,,,,Eivin Jacobsen,Category:Eivin Jacobsen,Eivin Jacobsen,,,Eivin Jacobsen,,,,Eivin Jacobsen,,https://upload.wikimedia.org/wikipedia/commons/9/93/Eivin_Jacobsen_2012.JPG,male,1957-07-20,Eivin Jacobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16999100,,Reimund Langgaard,Reimund Langgaard,,,Reimund Langgaard,,,,,,Reimund Langgaard,Category:Reimund Langgaard,Reimund Langgaard,,,Reimund Langgaard,,,,Reimund Langgaard,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Reimund_Langgaard_2012.JPG,male,1977-07-26,Reimund Langgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17042071,,Kristianna Winther Poulsen,Kristianna Winther Poulsen,,,Kristianna Winther Poulsen,,,,,,Kristianna Winther Poulsen,,Kristianna Winther Poulsen,,,Kristianna Winther Poulsen,,,,Kristianna Winther Poulsen,,,female,1969,Kristianna Winther Poulsen,,Kristianna Winther Poulsen,,,,,Kristianna Winther Poulsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17097702,,,,,,Jákup Suni Joensen,,,,,,Jákup Suni Joensen,,,,,,,,,Jákup Suni Joensen,,,male,1958-09-28,Jákup Suni Joensen,Jákup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17097805,,,,,,Jógvan A. Johannessen,,,,,,Jógvan A. Johannessen,,,,,,,,,Jógvan A. Johannessen,,,male,1936-07-20,Jógvan A. Johannessen,Jógvan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17097943,,,,,,Heini Johansen,,,,,,Heini Johansen,,,,,,,,,Heini Johansen,,,male,1934-01-17,Heini Johansen,Heini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17098051,,,,,,Karl Robert Johansen,,,,,,Karl Robert Johansen,,,,,,,,,Karl Robert Johansen,,,male,1943-08-30,Karl Robert Johansen,Karl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17105913,,Rodmundur Nielsen,Rodmundur Nielsen,,,Rodmundur Nielsen,Rodmundur Nielsen,,,,Rodmundur Nielsen,Rodmundur Nielsen,Category:Rodmundur Nielsen,Rodmundur Nielsen,,,Rodmundur Nielsen,,,,Rodmundur Nielsen,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Rodmundur_Nielsen_2012.JPG,male,1966-08-22,Rodmundur Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q17106292,,,,,,Ingi Olsen,,,,,,Ingi Olsen,,,,,,,,,Ingi Olsen,,,male,1969-01-05,Ingi Olsen,,,,,,,,,,,,,,,,,,,Ingi Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17106528,,,,,,Niklái Petersen,,,,,,Niklái Petersen,,,,,,,,,Niklái Petersen,,,male,1957-09-12,Niklái Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17106531,,Pauli Trond Petersen,Pauli Trond Petersen,,,Pauli T. Petersen,,,,,Pauli Trond Petersen,Pauli Trond Petersen,,Pauli Trond Petersen,,,Pauli Trond Petersen,,,,Pauli T. Petersen,,,male,1974-02-04,Pauli T. Petersen,Pauli,Pauli Trond Petersen,,,,,Pauli Trond Petersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q17106701,,Joen Magnus Rasmussen,Joen Magnus Rasmussen,,,Joen Magnus Rasmussen,,,,,,Joen Magnus Rasmussen,Category:Joen Magnus Rasmussen,Joen Magnus Rasmussen,,,Joen Magnus Rasmussen,,,,Joen Magnus Rasmussen,,https://upload.wikimedia.org/wikipedia/commons/9/91/Joen_Magnus_Rasmussen_2012.JPG,male,1966-02-27,Joen Magnus Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q17106707,,Magnus Rasmussen,Magnus Rasmussen,,Magnus Rasmussen,Magnus Rasmussen,Magnus Rasmussen,Magnus Rasmussen,,,,Magnus Rasmussen,,Magnus Rasmussen,,,Magnus Rasmussen,,,,Magnus Rasmussen,Magnus Rasmussen,,male,1962,Magnus Rasmussen,Magnus,Magnus Rasmussen,,,,,Magnus Rasmussen,,,,,,,,,,,,Magnus Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20667495,,Hanna Jensen,Hanna Jensen,,Hanna Jensen,Hanna Jensen,Hanna Jensen,Hanna Jensen,Hanna Jensen,,Hanna Jensen,Hanna Jensen,,Hanna Jensen,,Hanna Jensen,Hanna Jensen,,,,Hanna Jensen,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Hanna_Jensen_2015.JPG,female,1973-02-19,Hanna Jensen,Hanna,Hanna Jensen,,,,,Hanna Jensen,,,,,,,,Hanna Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Jensen,
Q20900365,,Katrin Kallsberg,Katrin Kallsberg,,,,Katrin Kallsberg,,Katrin Kallsberg,,Katrin Kallsberg,Katrin Kallsberg,Category:Katrin Kallsberg,Katrin Kallsberg,Katrin Kallsberg,Katrin Kallsberg,Katrin Kallsberg,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Løgtingsval_2015_Vágur-7-k.kallsberg-cropped.jpg,female,1967-07-30,Katrin Kallsberg,Katrin,Katrin Kallsberg,,,,,Katrin Kallsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gynaecologist,,,,
Q20900614,,Bjarni Hammer,Bjarni Hammer,,,,Bjarni Hammer,Bjarni Hammer,Bjarni Hammer,,Bjarni Hammer,Bjarni Hammer,Category:Bjarni Hammer,Bjarni Hammer,,,Bjarni Hammer,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Bjarni_Hammer_2011.jpg,male,1975-03-08,Bjarni Hammer,Bjarni,Bjarni Hammer,,,,,Bjarni Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rower,,,,
Q20900706,,Sonja Jógvansdóttir,Sonja Jógvansdóttir,,,Sonja Jógvansdóttir,Sonja Jógvansdóttir,Sonja Jógvansdóttir,Sonja Jógvansdóttir,,Sonja Jógvansdóttir,Sonja Jógvansdóttir,,Sonja Jógvansdóttir,Sonja Jógvansdóttir,Sonja Jógvansdóttir,Sonja Jógvansdóttir,,,,Sonja Jógvansdóttir,,,female,1977-11-09,Sonja Jógvansdóttir,Sonja,Sonja Jógvansdóttir,,,,,Sonja Jógvansdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalist,,,,
Q20927036,,Jørgen Thomsen,,,,Jørgen Thomsen,,,,,,Jørgen Thomsen,,Jørgen Thomsen (politiker),,,,,,,Jørgen Thomsen,,,male,1927-02-26,Jørgen Thomsen,Jørgen,,,,,,,,,,1995-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q21208240,,Jónleif Johannesen,Jónleif Johannesen,,,Jónleif Johannesen,Jónleif Johannesen,,,,Jónleif Johannesen,Jónleif Johannesen,,Jónleif Johannesen,,,Jónleif Johannesen,,,,Jónleif Johannesen,,,male,1978-07-28,Jónleif Johannesen,,Jónleif Johannesen,,,,,Jónleif Johannesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,
Q254129,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Category:Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,Jenis av Rana,https://upload.wikimedia.org/wikipedia/commons/c/c1/Jenis_av_Rana.jpg,male,1953-01-07,Jenis av Rana,,,,,,,,,,,,,,,,,,,,嚴尼斯·阿·瓦納,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenis av Rana,,,/g/121xkhkh,politician,,,,
Q255908,Hans Pauli Strøm,Hans Pauli Strøm,Hans Pauli Strøm,,Hans Pauli Strøm,Hans Pauli Strøm,Hans Pauli Strøm,,Hans Pauli Strøm,,Hans Pauli Strøm,Hans Pauli Strøm,Category:Hans Pauli Strøm,Hans Pauli Strøm,Hans Pauli Strøm,,Hans Pauli Strøm,,Hans Pauli Strøm,,Hans Pauli Strøm,Hans Pauli Strøm,https://upload.wikimedia.org/wikipedia/commons/c/c3/Hans_Pauli_Strøm_fyrilestur.JPG,male,1947-12-28,Hans Pauli Strøm,Hans,,,,,,,,,,,,,,,,,,,米漢斯·泡利·斯特羅姆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sociologist,,,,
Q272902,Marita Petersen,Marita Petersen,Marita Petersen,,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,,Marita Petersen,,Marita Petersen,Marita Petersen,,female,1940-10-21,Marita Petersen,Marita,Marita Petersen,Marita Petersen,馬麗塔·彼得森,马丽塔·彼得森,Marita Petersen,Marita Petersen,/m/09070_,,,2001-08-26,,,168341614,Marita Petersen,,,n2011010363,Marita Petersen,,Marita Petersen,,Marita Petersen,Marita Petersen,Marita Petersen,,,Marita Petersen,,,,,,,,,,Marita Petersen,,,,Marita Petersen,Marita Petersen,Marita Petersen,,,,,,,,,,Marita Petersen,,Marita Petersen,,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,Marita Petersen,,,,,,teacher,,,Petersen,
