id,name__es,name__it,name__en,name__fr,name,wikipedia__es,image,gender,birth_date,given_name,name__nl,name__de,wikipedia__commons,wikipedia__en,wikipedia__fr,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__he,name__ru,name__oc,name__ms,name__id,name__io,name__el,name__zh,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__el,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__ms,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,name__qu,name__fi,name__ja,name__fa,name__en_gb,name__ro,wikipedia__fa,wikipedia__fi,wikipedia__ja,wikipedia__no,wikipedia__qu,name__ca,wikipedia__ca,wikipedia__nl,name__ko,name__yo,name__et,wikipedia__et,wikipedia__it,wikipedia__ko,wikipedia__yo,website,death_date,twitter,name__vmf,name__nds,family_name,name__tr,name__la,wikipedia__la,wikipedia__sv,wikipedia__tr,original_wikiname,name__cy,name__hu,last_seen,second_surname,name__cs,name__af,name__an,name__ast,name__bar,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__eo,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__ie,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,identifier__wikitree,occupation,facebook,wikipedia__cs,identifier__google_knowledge,identifier__GND,name__ar,identifier__Britannica,name__ay,wikipedia__ay,name__ka,name__uk,name__th,wikipedia__gl,wikipedia__ka,wikipedia__plwikiquote,wikipedia__th,wikipedia__uk
Q5041863,Carlos Bruce,,Carlos Bruce,Carlos Bruce,Carlos Bruce,Carlos Bruce,https://upload.wikimedia.org/wikipedia/commons/2/2d/Carlos_Bruce.jpg,male,1957-02-24,Carlos,Carlos Bruce,Carlos Bruce,Category:Carlos Bruce,Carlos Bruce,,,,,,,,,,,,,,,,,,,,,,Carlos Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Bruce,,Carlos Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q515514,Cecilia Chacón,,Cecilia Chacón,Cecilia Chacón,Cecilia Chacón,Cecilia Chacón,https://upload.wikimedia.org/wikipedia/commons/2/21/Cecilia_Chacón2.jpg,female,1971-02-03,Cecilia,Cecilia Chacón,Cecilia Chacón,,Cecilia Chacón,,,,,,,,,,,,,,,,,,,,,,Cecilia Isabel Chacón de Vettori,,,,,,,,,,,,,,,/m/0ftyl_,Cecilia Chacón,,,,,,,,,,Cecilia Chacón,,,,,,,,,,,,,chechechacon,,,,,,,,,Cecilia Chacón,,Cecilia Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5216352,Daniel Abugattás,,Daniel Abugattás,Daniel Abugattás,Daniel Abugattás,Daniel Abugattás,https://upload.wikimedia.org/wikipedia/commons/c/c8/Daniel_Abugattás_(cropped).jpg,male,1955-04-14,Daniel,Daniel Abugattás,Daniel Abugattás,Category:Daniel Abugattás,Daniel Abugattás,,,,,,,,Daniel Abuggatás,,,,,,,,,,,,,,,,,,,,,,Daniel Abuggatás,,,,,,,/m/0fvd2k,,,,,,,,,,,,,,,,,,,,,,http://www.abugattasteoye.pe/,,dabugattas16,,,,,,,,,Daniel Abugattás,,Daniel Abugattás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,danielabugattas16,,,,,,,,,,,,,,,
Q5218182,Daniel Mora Zevallos,,Daniel Mora,Daniel Mora Zevallos,Daniel Mora Zevallos,Daniel Mora Zevallos,,male,1945-02-18,Daniel,Daniel Mora,Daniel Mora,,Daniel Mora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dmorazevallos,,,,,,,,,Daniel Mora,,Daniel Mora Zevallos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Dchmoraz,,,,,,,,,,,,,,,
Q5368669,Elías Nicolás Rodríguez Zavaleta,,Elías Rodríguez,Elías Nicolás Rodríguez Zavaleta,Elías Nicolás Rodríguez Zavaleta,Elías Nicolás Rodríguez Zavaleta,https://upload.wikimedia.org/wikipedia/commons/9/94/Elías_Nicolás_Rodríguez_Zavaleta.jpg,male,1974-07-22,Elías,Elías Rodríguez,Elías Rodríguez,,Elías Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodriguez22E,,,,,,,,,Elías Rodríguez,,Elías Nicolás Rodríguez Zavaleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,ERZoficial,,,,,,,,,,,,,,,
Q5499599,Fredy Otárola Peñaranda,,Fredy Otárola,Fredy Otárola Peñaranda,Fredy Otárola Peñaranda,Fredy Otárola,https://upload.wikimedia.org/wikipedia/commons/8/87/Fredy_Otárola_Peñaranda_(cropped).jpg,male,1961-05-05,Fredy,Fredy Otárola,Fredy Otárola,Category:Fredy Otárola Peñaranda,Fredy Otárola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FredyOtarola,,,,,,,,,Fredy Otárola,,Fredy Otárola Peñaranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,fredy.otarola.pe,,,,,,,,,,,,,,,
Q5576834,Martín Belaúnde Moreyra,,Martín Belaúnde Moreyra,Martín Belaúnde Moreyra,Martín Belaúnde Moreyra,Martín Belaúnde Moreyra,,male,1938-10-30,Martín,Martín Belaúnde Moreyra,Martín Belaúnde Moreyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/011lxtwj,,,,,,,,,,,,,,,,,,,,,,,,martinbelaundem,,,,,,,,,Martín Belaúnde Moreyra,,Martín Belaúnde Moreyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,martin.belaundemoreyra.1,,,,,,,,,,,,,,,
Q5643380,José León Rivera,,José León Rivera,José León Rivera,José León Rivera,José León Rivera,,male,1952-03-30,José,José León Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joseleonrivera,,,,,,,,,José León Rivera,,José León Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5649009,Pedro Spadaro,Pedro Spadaro,Pedro Spadaro,Pedro Spadaro,Pedro Spadaro,Pedro Spadaro,,male,1977-05-16,Pedro,Pedro Spadaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pedrospadaro,,,,,,,,,Pedro Spadaro,,Pedro Spadaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,pedrospadaro,,,,,,,,,,,,,,,
Q5660773,Agustín Molina,,Agustín Molina,Agustín Molina,Agustín Molina,Agustín Molina,,male,1953-03-27,Agustín,Agustín Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agustinfmolina,,,,,,,,,Agustín Molina,,Agustín Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,agustinfmolina,,,,,,,,,,,,,,,
Q5662798,Alberto Beingolea,Alberto Beingolea,Alberto Beingolea,Alberto Beingolea,Alberto Beingolea,Alberto Beingolea,https://upload.wikimedia.org/wikipedia/commons/6/6f/El_legislador_Alberto_Beingolea_Delgado_(7027838047).jpg,male,1964-11-19,Alberto,Alberto Beingolea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://albertobeingolea.com//,,BeingoleaA,,,,,,,,,Alberto Beingolea,,Alberto Beingolea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Albertobeingolea,,,,,,,,,,,,,,,
Q5673809,Ana Jara,Ana Jara,Ana Jara,Ana Jara,Ana Jara,Ana Jara,https://upload.wikimedia.org/wikipedia/commons/1/10/Ana_Jara.jpg,female,1968-05-11,Ana,Ana Jara,Ana Jara,Category:Ana Jara Velásquez,Ana Jara,Ana Jara,,,,,,,,Ana Jara,אנה חרה,Ана Хара Веласкес,,,Ana Jara,,Άνα Χάρα,安娜·賈拉,,,,Ana Jara,Ana Jara,Άνα Χάρα,אנה חרה,Ana Jara,,,,Ana Jara,,"Хара Веласкес, Ана",,,,,,,Ana Jara,,アナ・ハラ,آنا خارا,,,آنا خارا,,,,Ana Jara,,,,,,Ana Jara,Ana Jara,Ana Jara,,,,,anajarav,,,,Ana Jara Velásquez,Anna Jara,Anna Jara,Ana Jara,Ana Jara Velásquez,Ana Jara,,Ana Jara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,biography/Ana-Jara,,,,,,,,,,
Q5673978,Ana María Solórzano,,Ana María Solórzano,Ana María Solórzano,Ana María Solórzano,Ana María Solórzano,https://upload.wikimedia.org/wikipedia/commons/9/92/Ana_María_Solórzano_2.jpg,female,1977-10-15,Ana,Ana María Solórzano,,,Ana María Solórzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799146936806813782422,n2016034262,,,,,,,,,,,,,,,,,,,,,,,,,,,AMSolorzanoF,,,,,,,,,Ana María Solórzano,,Ana María Solórzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5691307,Mariano Portugal Catacora,Mariano Portugal Catacora,Mariano Portugal Catacora,Mariano Portugal Catacora,Mariano Portugal Catacora,Mariano Portugal Catacora,,male,1952-05-27,Mariano,Mariano Portugal Catacora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariano Portugal Catacora,,Mariano Portugal Catacora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,marianoportugalcatacora,,,,,,,,,,,,,,,
Q5699074,Antonio Medina Ortiz,Antonio Medina Ortiz,Antonio Medina Ortiz,Antonio Medina Ortiz,Antonio Medina Ortiz,Antonio Medina Ortiz,https://upload.wikimedia.org/wikipedia/commons/7/7e/Antonio_Medina.jpg,male,1964-10-31,Antonio,Antonio Medina Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antoniomedinao,,,,,,,,,Antonio Medina Ortiz,,Antonio Medina Ortiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5751971,Carlos Tubino,Carlos Tubino Arias-Schreiber,Carlos Tubino,Carlos Tubino Arias-Schreiber,Carlos Tubino,Carlos Tubino Arias-Schreiber,https://upload.wikimedia.org/wikipedia/commons/5/5c/El_legislador_Carlos_Tubino_(6881727090).jpg,male,1949-08-01,Carlos,Carlos Tubino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TubinoCarlos,,,,,,,,,Carlos Tubino Arias-Schreiber,,Carlos Tubino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,carlostubino,,,,,,,,,,,,,,,
Q5791824,Cristóbal Llatas Altamirano,,Cristóbal Llatas Altamirano,Cristóbal Llatas Altamirano,Cristóbal Llatas Altamirano,Cristóbal Llatas Altamirano,,male,1962-06-23,Cristóbal,Cristóbal Llatas Altamirano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristóbal Llatas Altamirano,,Cristóbal Llatas Altamirano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5797674,Modesto Julca Jara,,Modesto Julca Jara,Modesto Julca Jara,Modesto Julca Jara,Dalmacio Julca,,male,1957-09-24,Modesto,Modesto Julca Jara,Modesto Julca Jara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalmacio Julca,,Modesto Julca Jara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5808715,Manuel Dammert,Manuel Dammert,Manuel Dammert,Manuel Dammert,Manuel Dammert,Manuel Dammert,,male,1949-03-08,Manuel,Manuel Dammert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11192690,,,133231925,,,,,,,,,,,,,,,,,,,,,,,http://www.manueldammert.com/,,ManuelDammert,,,,,,,,,Manuel Dammert,,Manuel Dammert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,manueldammert,,,1053064543,,,,,,,,,,,,
Q5833940,Enrique Wong,,Enrique Wong,Enrique Wong,Enrique Wong,Enrique Wong,,male,1941-06-26,Enrique,Enrique Wong,Enrique Wong,Category:Enrique Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enriquewong4,Enrique Wong,Enrique Wong,,,,,,,Enrique Wong,,Enrique Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5859176,Fernando Andrade,Fernando Andrade Carmona,Fernando Andrade,Fernando Andrade Carmona,Fernando Andrade,Fernando Andrade Carmona,,male,1951-09-16,Fernando,Fernando Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,andradecarmona,,,,,,,,,Fernando Andrade Carmona,,Fernando Andrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5889858,Gustavo Rondón,,Gustavo Rondón,Gustavo Rondón,Gustavo Rondón,Gustavo Rondón,,male,1958-03-11,Gustavo,Gustavo Rondón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rondoncongreso,,,,,,,,,Gustavo Rondón,,Gustavo Rondón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5894848,Heriberto Benítez,,Heriberto Benítez,Heriberto Benítez,Heriberto Benítez,Heriberto Benítez,,male,1959-10-04,Heriberto,Heriberto Benítez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HBenitez_,,,,,,,,,Heriberto Benítez,,Heriberto Benítez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5896319,Hernán de la Torre,,Hernán de la Torre,Hernán de la Torre,Hernán de la Torre,Hernán de la Torre,,male,1967-11-11,Hernán,Hernán de la Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hernán de la Torre,,Hernán de la Torre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5904417,Hugo Carrillo,,Hugo Carrillo,Hugo Carrillo Cavero,Hugo Carrillo,Hugo Carrillo Cavero,https://upload.wikimedia.org/wikipedia/commons/2/20/Hugo_Carrillo_Cavero.jpg,male,1956-10-30,Hugo,Hugo Carrillo Cavero,Hugo Carrillo Cavero,,,,,,,,,,,,,,,,,,,,,,,,Hugo Carrillo Cavero,,,,,,,,,,,41594280,no2006062050,,,,Hugo Carrillo Cavero,,,,,,,,,,Hugo Carrillo Cavero,,,,,,,,,,,,,,,,,,,,,,Hugo Carrillo Cavero,,Hugo Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poet,,,,,,,,,,,,,,,,
Q5906033,Héctor Becerril,,Héctor Becerril,Héctor Becerril,Héctor Becerril,Héctor Becerril,https://upload.wikimedia.org/wikipedia/commons/a/a9/Héctor_Becerril_(cropped).jpg,male,1957-12-28,Héctor,Héctor Becerril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hectorbecerrilr,,,,,,,,,Héctor Becerril,,Héctor Becerril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5930961,Jhon Reynaga,,Jhon Reynaga,Jhon Reynaga,Jhon Reynaga,Jhon Reynaga,https://upload.wikimedia.org/wikipedia/commons/9/93/Jhon_Reynaga.jpg,male,1974-01-27,Jhon,Jhon Reynaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JhonReynaga,,,,,,,,,Jhon Reynaga,,Jhon Reynaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Jhon-Reynaga-460551967306552,,,,,,,,,,,,,,,
Q5935903,Jorge Rimarachín Cabrera,,Jorge Rimarachín Cabrera,Jorge Rimarachín Cabrera,Jorge Rimarachín Cabrera,Jorge Rimarachín Cabrera,https://upload.wikimedia.org/wikipedia/commons/e/e1/Jorge_Rimarachín_Cabrera.jpg,male,1965-03-23,Jorge,Jorge Rimarachín Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JORGERIMARACHI1,,,,,,,,,Jorge Rimarachín Cabrera,,Jorge Rimarachín Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Jorge-Rimarachín-Cabrera-282121911808064,,,,,,,,,,,,,,,
Q5945915,José Urquizo Maggia,,José Antonio Urquizo,José Urquizo Maggia,José Urquizo Maggia,José Urquizo Maggia,https://upload.wikimedia.org/wikipedia/commons/6/6b/José_Antonio_Urquizo_2.jpg,male,1967-02-13,José,José Antonio Urquizo,José Antonio Urquizo,,José Antonio Urquizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joseurquizo,,,,,,,,,José Antonio Urquizo,,José Urquizo Maggia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,joseurquizomaggia,,,,,,,,,,,,,,,
Q5954707,Julia Teves,,Julia Teves,Julia Teves,Julia Teves,,https://upload.wikimedia.org/wikipedia/commons/f/f6/Julia_Teves_2.jpg,female,1972-07-01,Julia,Julia Teves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juliatevesperu,,,,,,,,,,,Julia Teves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,Congresista-Julia-Teves-Quispe-971713849511942,,,,,,,,,,,,,,,
Q5956862,Justiniano Apaza,,Justiniano Apaza,Justiniano Apaza,Justiniano Apaza,Justiniano Apaza,https://upload.wikimedia.org/wikipedia/commons/9/9c/El_legislador_Justiniano_Apaza.jpg,male,1942-09-05,Justiniano,Justiniano Apaza,,Category:Justiniano Apaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,justinianoapaza,,,,,,,,,Justiniano Apaza,,Justiniano Apaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,justinianoapaza,,,,,,,,,,,,,,,
Q5973167,Leonardo Inga,Leonardo Inga,Leonardo Inga,Leonardo Inga,Leonardo Inga,Leonardo Inga,,male,1956,Leonardo,Leonardo Inga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LeonardoInga,,,,,,,,,Leonardo Inga,,Leonardo Inga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5977114,Luciana León,,Luciana León,Luciana León,Luciana León,Luciana León,https://upload.wikimedia.org/wikipedia/commons/f/f7/Luciana_Leon.jpg,female,1978-06-30,Luciana,Luciana León,Luciana León,,Luciana León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/0fvc1s,,,ルシアナ・レオン,,,,,,ルシアナ・レオン,,,,,,,,,,,,,,,LUCIANA_LEON_R,,,,,,,,,Luciana León,,Luciana León,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,lucianaleonenaccion,,,,,,,,,,,,,,,
Q5985016,Luz Salgado,Luz Salgado,Luz Salgado,Luz Salgado,Luz Salgado,Luz Salgado,https://upload.wikimedia.org/wikipedia/commons/f/f1/Legisladora_Luz_Salgado_Rubianes_(2).jpg,female,1949-07-03,Luz,Luz Salgado,,,Luz Salgado,Luz Salgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luz Salgado,,,,,,,,,,Luz Salgado,,,,,,,,,,,,,LuzSalgado_R,,,,,,,,,Luz Salgado,,Luz Salgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,luzsalgadocongresista,,/g/120ldh_m,,,,Luz Salgado,Luz Salgado,,,,,,,,
Q5993760,Manuel Merino,Manuel Merino,Manuel Merino,Manuel Merino,Manuel Merino,Manuel Merino,,male,1961-08-20,Manuel,Manuel Merino,,Category:Manuel Merino,,,,,,,,,,,,Мануэль Мерино,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuel Merino,,Manuel Merino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,
Q5996324,Marco Falconí,,Marco Falconí,Marco Falconí,Marco Falconí,Marco Falconí,,male,1958-10-24,Marco,Marco Falconí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcofalconi,,,,,,,,,Marco Falconí,,Marco Falconí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,MarquitoFalconi1,,,,,,,,,,,,,,,
Q6004245,María López Córdova,,María López Córdova,María López Córdova,María López Córdova,María López Córdova,,female,1965-05-27,María,María López Córdova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fmariamagdalena,,,López,,,,,,María López Córdova,,María López Córdova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,ماريا لوبيز,,,,,,,,,,,
Q6011542,Mesías Guevara Amasifuén,,Mesías Guevara Amasifuén,Mesías Guevara Amasifuén,Mesías Guevara Amasifuén,Mesías Guevara Amasifuén,https://upload.wikimedia.org/wikipedia/commons/7/76/Congresista_Mesías_Guevara.jpg,male,1963-06-13,Mesías,Mesías Guevara Amasifuén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MesiasGuevara,,,,,,,,,Mesías Guevara Amasifuén,,Mesías Guevara Amasifuén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,MesiasGuevaraAmasifuen,,,,,,,,,,,,,,,
Q6048692,Octavio Salazar Miranda,Octavio Salazar Miranda,Octavio Salazar Miranda,Octavio Salazar Miranda,Octavio Salazar Miranda,Octavio Salazar Miranda,https://upload.wikimedia.org/wikipedia/commons/4/49/Octavio_Salazar_1.jpg,male,1952-10-20,Octavio,Octavio Salazar Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_OctavioSalazar,,,,,,,,,Octavio Salazar Miranda,,Octavio Salazar Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,congresistaoctaviosalazar,,,,,,,,,,,,,,,
Q6102482,Joaquín Ramírez,,Reber Ramírez Gamarra,Joaquín Ramírez,Joaquín Ramírez,Joaquín Ramírez,,male,1970-01-07,Joaquín,Reber Ramírez Gamarra,,,Joaquín Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joakinram,,,,,,,,,Joaquín Ramírez,,Joaquín Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,joakinramirez.pe,,,,,,,,,,,,,,,
Q6108596,Richard Acuña Núñez,,Richard Acuña Núñez,Richard Acuña Núñez,Richard Acuña Núñez,Richard Acuña Núñez,,male,1984,Richard,Richard Acuña Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RichardAcunaN,,,,,,,,,Richard Acuña Núñez,,Richard Acuña Núñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,RichardAcunaN,,,,,,,,,,,,,,,
Q6109576,Roberto Angulo Álvarez,,Roberto Angulo Álvarez,Roberto Angulo Álvarez,Roberto Angulo Álvarez,Roberto Angulo Álvarez,,male,1951-08-29,Roberto,Roberto Angulo Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,robertoanguloa,,,,,,,,,Roberto Angulo Álvarez,,Roberto Angulo Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,RobertoAnguloAlvarez,,,,,,,,,,,,,,,
