id,name__en,name__de,name__it,name__nl,name__fr,name,wikipedia__en,gender,occupation,death_date,original_wikiname,name__yo,wikipedia__yo,birth_date,given_name,name__new,wikipedia__new,identifier__VIAF,image,identifier__LCAuth,identifier__FAST,identifier__freebase,name__es,name__nb,name__tr,name__ru,name__da,name__nn,name__sv,name__hu,wikipedia__de,wikipedia__no,wikipedia__ru,wikipedia__tr,name__zh_hant,name__zh_cn,name__cy,name__gl,wikipedia__it,wikipedia__sv,wikipedia__fr,identifier__NPG,identifier__hansard,name__ca,wikipedia__ca,identifier__ISNI,identifier__BNF,identifier__SUDOC,identifier__NTA,website,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__cs,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__fi,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pl,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__simple,wikipedia__commons,identifier__nass,wikipedia__ha,name__ha,wikipedia__ig,name__ig,name__sl,identifier__rush,family_name,wikipedia__vi,identifier__GTAA,wikipedia__id,twitter,identifier__google_knowledge,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__fi,name__ja
Q25938875,Joan Onyemaechi Mrakpor,,,Joan Onyemaechi Mrakpor,,Joan Onyemaechi Mrakpor,Joan Onyemaechi Mrakpor,female,politician,,Joan Onyemaechi Mrakpor,,,1966,Joan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,,,,,,,,,,,,,,,,
Q26704784,Austin Opara,,,Austin Opara,,Austin Opara,Austin Opara,male,,,Austin Opara,,,1963-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26896971,Julius Gbabojor Pondi,,,Julius Gbabojor Pondi,,Julius Gbabojor Pondi,Julius Gbabojor Pondi,male,politician,,Julius Gbabojor Pondi,,,1978-11-19,Julius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,
Q27517391,Ben Nwankwo,,,Ben Nwankwo,,Ben Nwankwo,Ben Nwankwo,male,politician,,Ben Nwankwo,,,1965-09-27,Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,,,,,,,Nwankwo,,,,,,,,,
Q27517405,Lere Oyewumi,,,Lere Oyewumi,,Lere Oyewumi,Lere Oyewumi,male,,,Lere Oyewumi,,,1960-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lere Oyewumi,,,,,,,,,,,
Q27662959,Ogbonna Nwuke,,,Ogbonna Nwuke,,Ogbonna Nwuke,Ogbonna Nwuke,male,civil servant,,Ogbonna Nwuke,,,1959-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28051589,Samaila Suleiman,,,Samaila Suleiman,,Samaila Suleiman,Samaila Suleiman,male,politician,,Samaila Suleiman,,,1981-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583,,,,,Samaila Suleiman,,,,,,,,,,,
Q28420151,Buruju Kashamu,,,Buruju Kashamu,,Buruju Kashamu,Buruji Kashamu,male,politician,,,,,1958-05-19,,,,,https://upload.wikimedia.org/wikipedia/commons/3/35/Buruji_Kashamu.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,,,,,Buruju Kashamu,,,,,,,,,,,
Q28600192,Francis Alimikhena,,,Francis Alimikhena,,Francis Alimikhena,Francis Alimikhena,male,politician,,,,,1947-10-18,Francis,,,,https://upload.wikimedia.org/wikipedia/commons/2/2f/Francis_Alimikhena.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,,,,,Francis Alimikhena,,,,,,,,,,,
Q28606434,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,male,politician,,,,,1969-12-01,Philip,,,,,,,,Philip Shaibu,Philip Shaibu,Philip Shaibu,,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,,,,,,,Philip Shaibu,Philip Shaibu,,,,,,Philip Shaibu,,,,,,,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,Philip Shaibu,,,577,,,,,Philip Shaibu,,Shaibu,,,,,,,,,
Q28839608,Olatoye Tempitope Sugar,,,Olatoye Tempitope Sugar,,Olatoye Tempitope Sugar,Olatoye Tempitope Sugar,male,politician,,Olatoye Tempitope Sugar,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a1/Hon_Olatoye_Temitope_Sugar.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,,,,,Olatoye Tempitope Sugar,,,,,,,,,,,
Q29834852,Abdulrahman Shuaibu Abubakar,,,Abdulrahman Shuaibu Abubakar,,Abdulrahman Shuaibu Abubakar,Abdulrahman Shuaibu Abubakar,male,politician,,Abdulrahman Shuaibu Abubakar,,,1965-07-05,Abdulrahman,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Abdulrahman_Shuaibu_Abubakar.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,,,,,Abdulrahman Shuaibu Abubakar,,,,,,,,,,,
Q30643909,Obinna Chidoka,,,,,Obinna Chidoka,Obinna Chidoka,,politician,,Obinna Chidoka,,,1974-01-07,,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Hon._Obinna_Chidoka.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,,,,,,,,,,,,,,,
Q30673985,Ned Nwoko,,,Ned Nwoko,,Ned Nwoko,Ned Nwoko,male,politician,,Ned Nwoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ned Nwoko,,,,,,,,,,,
Q3509922,Rabiu Kwankwaso,Rabiu Kwankwaso,,Rabiu Kwankwaso,Rabiu Kwankwaso,Rabiu Kwankwaso,Rabiu Kwankwaso,male,politician,,Rabiu Kwankwaso,Rabiu Kwankwaso,Rabiu Kwankwaso,1956-10-21,,,,14128786,https://upload.wikimedia.org/wikipedia/commons/3/35/Dr_Rabiu_Musa_Kwankwaso.jpg,n2002045231,484950,,,Rabiu Kwankwaso,,Рабиу Кванквасо,Rabiu Kwankwaso,Rabiu Kwankwaso,Rabiu Kwankwaso,,,,"Кванквасо, Рабиу",,,,,,,,Rabiu Kwankwaso,,,,,0000 0000 3751 5236,,,,http://www.kwankwaso.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabi'u Musa Kwankwaso,Rabiu Kwankwaso,,,Rabiu Kwankwaso,,,,,,,,,,,
Q3509941,Mohammed Ali Ndume,Mohammed Ali Ndume,,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,Mohammed Ali Ndume,male,politician,,,Mohammed Ali Ndume,Mohammed Ali Ndume,1959-11-20,Mohammed,,,,,,,,Mohammed Ali Ndume,,,"Ндуме, Мохаммед Али",,,,Mohammed Ali Ndume,,,"Ндуме, Мохаммед Али",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,Mohammed Ali Ndume,Mohammed Ali Ndume,,,Mohammed Ali Ndume,,,,,,,,,,,
Q3510712,Adamu Aliero,Adamu Aliero,,Adamu Aliero,Adamu Aliero,Adamu Aliero,Adamu Aliero,male,politician,,,Adamu Aliero,Adamu Aliero,1957-01-01,,,,,,,,,Adamu Aliero,,,,,,Adamu Aliero,Adamu Aliero,,,,,,,,,,Adamu Aliero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,,Adamu Aliero,,,,,,,,,,,
Q3510720,Ahmad Sani Yerima,Ahmad Sani Yerima,,Ahmad Sani Yerima,Ahmad Sani Yerima,Ahmad Sani Yerima,Ahmad Sani Yerima,male,politician,,,Ahmed Sani Yerima,Ahmed Sani Yerima,1960-07-22,Ahmed,,,21926011,,no2007088226,1681779,,Ahmad Sani Yerima,,,,,,Ahmed Sani,Ahmad Sani Yerima,,,,,,,,,,Ahmed Sani,,,,,,0000 0000 4844 5085,,120865033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,Ahmad Sani Yerima,,,,,,,,,,,
Q3510785,Nenadi Usman,Nenadi Usman,,Nenadi Usman,Nenadi Usman,Nenadi Usman,Nenadi Usman,female,politician,,Nenadi Usman,Nenadi Usman,Nenadi Usman,1966-11-12,,,,,,,,,Nenadi Usman,,,,,,Nenadi Usman,Nenadi Usman,,,,,,,,,,Nenadi Usman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nenadi Usman,,,,,,,,,,,
Q3510803,George Akume,George Akume,,George Akume,George Akume,George Akume,George Akume,male,politician,,,George Akume,George Akume,1953-12-27,George,,,,,,,,George Akume,,,,,,George Akume,George Akume,,,,,,,,,,George Akume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,,,,,George Akume,,,,,,,,,,,
Q3511513,Robert Ajayi Boroffice,Robert Ajayi Boroffice,,Robert Ajayi Boroffice,Robert Ajayi Boroffice,Robert Ajayi Boroffice,Robert Ajayi Boroffice,male,politician,,,Robert Ajayi Boroffice,Robert Ajayi Boroffice,1949-04-23,Robert,,,,https://upload.wikimedia.org/wikipedia/commons/7/73/Robert_Boroffice.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Boroffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,,,,,Robert Ajayi Boroffice,,,,,,,,,,Robert Boroffice,
Q35523688,Iorember Wayo,,,,,Iorember Wayo,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,,,,,,,,,,,,,,,,
Q35523709,Eke Bede,,,,,Eke Bede,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,
Q35536081,Mallam Gana,,,,,Mallam Gana,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,,,,,,,,,,,,,,
Q35536093,Tijjani Abdul Kadir,,,,,Tijjani Abdul Kadir,,male,politician,,,,,,Tijjani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,,,,,,,,,,,,,,,,
Q35536112,Dekor Dumnamene,,,,,Dekor Dumnamene,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,,,,,,,,,,,,,,,,
Q35536127,Faleke Abiodun,,,,,Faleke Abiodun,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,,,,,,,,,,,,,,,,
Q35536141,Okechukwu Eze,,,,,Okechukwu Eze,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,,,,,,,,,,,,,,,,
Q35536154,Usman Shiddi,,,,,Usman Shiddi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,
Q35536164,Ehiozuwa Agbonayinma,,,,,Ehiozuwa Agbonayinma,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,,,,,,,,,,,,,,,,
Q35536176,Ederin Idisi,,,,,Ederin Idisi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,,,,,,,,,,,,,,,,
Q35536189,Ado Musa,,,,,Ado Musa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,,,,,,,,,,,,,,,,
Q35536199,Ajibola Famurewa,,,,,Ajibola Famurewa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,,,,,,,,,,,,,,,,
Q35536212,Muhammed Ajanah,,,,,Muhammed Ajanah,,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,,,,,,,,,,,,,,,,
Q35536223,Sunday Karimi,,,,,Sunday Karimi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,,,,,,,,,,,,,,,,
Q35536240,Husseni Suleiman,,,,,Husseni Suleiman,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,,,,
Q35536249,Jimoh Ojugbele,,,,,Jimoh Ojugbele,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,,,,,,,,,,,,,,,,
Q35536262,Angulu Zakari,,,,,Angulu Zakari,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,,,,,,,,,,,,,
Q35536271,Nnenna Elendu,,,,,Nnenna Elendu,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,,,,
Q35536282,Johnson Oghuma,,,,,Johnson Oghuma,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,,,,,,,,,,,,,
Q35536291,Umar Jibril,,,,,Umar Jibril,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,,,,,,,,,,,,,,,,
Q35536302,Sani Mohammed,,,,,Sani Mohammed,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,,,,,,,,,,
Q35536314,Jimoh Abdul,,,,,Jimoh Abdul,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,
Q35536324,Rabiu Garba,,,,,Rabiu Garba,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,,,,,,,,,,,,,,,,
Q35536336,Sani Saidu,,,,,Sani Saidu,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,,,,,,,,,,,,,,,,
Q35536347,Toby Okechukwu,,,,,Toby Okechukwu,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,
Q35536361,Aja Samson,,,,,Aja Samson,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,,,,,,,,,,,,,,,,
Q35536375,Joseph Edionwele,,,,,Joseph Edionwele,,male,politician,,,,,,Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,,,,,,,,,,,,,,,,
Q35536386,Albert Adeogun,,,,,Albert Adeogun,,male,politician,,,,,,Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,,,,,,,,,,,,,,,,
Q35536398,Ngoro Agibe,,,,,Ngoro Agibe,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,,,,,,,,,,
Q35536408,Henry Archibong,,,,,Henry Archibong,,male,politician,,,,,,Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,,,,,,Archibong,,,,,,,,,
Q35536416,Omar Tata,,,,,Omar Tata,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,,,,,,,,,,
Q35536424,Abdullahi Mohammed,,,,,Abdullahi Mohammed,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,,,,,,,,,,,,,,,,
Q35536436,Yusuf Buba,,,,,Yusuf Buba,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,,,,,,,,,,
Q35536446,Tasir Raji,,,,,Tasir Raji,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,,,,,,,,,,,,,,,,
Q35536456,Ibrahim Danmazari,,,,,Ibrahim Danmazari,,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,,,,,
Q35536465,Nwokolo Victor,,,,,Nwokolo Victor,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,,,
Q35536478,Eucharia Okwunna,,,,,Eucharia Okwunna,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,
Q35536492,Chukwuma Nwazunku,,,,,Chukwuma Nwazunku,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,,,,,,
Q35536498,Khamisu Ahm Ahmed,,,,,Khamisu Ahm Ahmed,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,,,,,,,,,,,,,,,
Q35536512,Kehinde Agboola,,,,,Kehinde Agboola,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,,,,,,,,,,
Q35536524,Bello Sani,,,,,Bello Sani,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,,,,,,,,,,,,,,,,
Q35536539,Bello Abdullahi,,,,,Bello Abdullahi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,,,
Q35536547,Ohiozojeh Akpatason,,,,,Ohiozojeh Akpatason,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,,,,,,,,,,,,,,,
Q35536561,Jerome Eke,,,,,Jerome Eke,,male,politician,,,,,,Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,,,,,,,,,,,,,,,,
